section,path,size_bytes,details,note
stale_file,C:\Program Files\Norton Security\NortonData\22.16.1.4\Definitions\WebProtectionDefs\NcoDefs.ncz,11264546,stale_file,review required
stale_file,C:\Program Files\HP\HP Officejet Pro 8610\Bin\DigitalWizardsUI.dll,11262472,stale_file,review required
stale_file,C:\Program Files\Norton Security\NortonData\22.16.1.4\Definitions\SDSDefs\20191028.007\VIRSCAN9.DAT,10542869,stale_file,review required
stale_file,C:\Program Files (x86)\Adobe\Adobe Digital Editions 4.5\rmsdk_wrapper.dll,10307096,stale_file,review required
stale_file,C:\Program Files\Norton Security\NortonData\22.16.1.4\Definitions\SDSDefs\umcat_01.db,10221097,stale_file,review required
stale_file,C:\Program Files\Norton Security\Engine32\22.20.5.39\icudtl.dat,10218000,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\PyQt6\Qt6\bin\Qt6Core.dll,10007688,stale_file,review required
stale_file,C:\Program Files (x86)\Realtek\Realtek Card Reader\RsCRIcon.dll,9900160,stale_file,review required
stale_file,C:\Program Files\SteelSeries\GG\cvgamesense\onnxruntime.dll,9630648,stale_file,review required
stale_file,C:\Program Files (x86)\HP\IrisOCR_12.3.4.0\drs832.dll,9532080,stale_file,review required
stale_file,C:\Program Files\NVIDIA Corporation\Nsight Compute 2024.1.1\host\windows-desktop-win7-x64\NvQtGui.dll,9471040,stale_file,review required
stale_file,C:\Program Files\NVIDIA Corporation\Nsight Systems 2023.4.4\host-windows-x64\NvQtGui.dll,9471032,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\PyQt6\Qt6\bin\Qt6Gui.dll,9469576,stale_file,review required
stale_file,C:\Windows\WinSxS\amd64_microsoft-windows-font-truetype-msgothic_31bf3856ad364e35_10.0.26100.1_none_d5a03770e7423b7a\msgothic.ttc,8990160,stale_file,review required
stale_file,C:\Program Files (x86)\Ubisoft\Ubisoft Game Launcher\overlay64.dll,8550720,stale_file,review required
stale_file,C:\Program Files\NVIDIA Corporation\Nsight Systems 2023.4.4\target-windows-x64\arrow.dll,8399952,stale_file,review required
stale_file,C:\Program Files\Git\mingw64\libexec\git-core\libSkiaSharp.dll,7979968,stale_file,review required
stale_file,C:\Program Files\Norton Security\NortonData\22.16.1.4\Definitions\IronRevo\20191028.040\Revoke.irn,7778304,stale_file,review required
stale_file,C:\User Manual\User Manual\Japanese\G04_MS_16P7_v1.0_Japanese.pdf,7547064,stale_file,review required
stale_file,C:\Program Files\SteelSeries\GG\apps\engine\engineApps\audiovisualizer\Qt5Core.dll,7428480,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\language_data\__pycache__\name_data.cpython-312.pyc,7261145,stale_file,review required
stale_file,C:\Program Files (x86)\Ubisoft\Ubisoft Game Launcher\overlay.dll,7223616,stale_file,review required
stale_file,C:\Program Files (x86)\Ubisoft\Ubisoft Game Launcher\shareplay\Qt5Gui.dll,7129720,stale_file,review required
stale_file,C:\Program Files\NVIDIA Corporation\Nsight Systems 2023.4.4\host-windows-x64\Plugins\QuadDPlugin\QuadDPlugin.dll,7074904,stale_file,review required
